Section,File Path,Word Count,Est. Time (min)
01-affirmative-consent-principles,modules/01-orientation-consent/01-affirmative-consent-principles.md,435,2
02-ongoing-communication-checkins,modules/01-orientation-consent/02-ongoing-communication-checkins.md,684,3
03-power-exchange-negotiation-framework,modules/01-orientation-consent/03-power-exchange-negotiation-framework.md,1518,7
04-safety-protocols,modules/01-orientation-consent/04-safety-protocols.md,728,3
05-safety-protocols-advanced,modules/01-orientation-consent/05-safety-protocols-advanced.md,652,3
06-aftercare-assessment-framework,modules/01-orientation-consent/06-aftercare-assessment-framework.md,1858,8
07-closing-reflections,modules/01-orientation-consent/07-closing-reflections.md,309,2
01-impact-play-fundamentals,modules/02-session-techniques/01-impact-play-fundamentals.md,1084,5
02-advanced-bondage-innovations,modules/02-session-techniques/02-advanced-bondage-innovations.md,80,1
03-impact-play-session-planning-neuro,modules/02-session-techniques/03-impact-play-session-planning-neuro.md,504,3
04-sensation-play-methods,modules/02-session-techniques/04-sensation-play-methods.md,153,1
05-safety-protocols-impact,modules/02-session-techniques/05-safety-protocols-impact.md,724,3
01-inclusive-practices,modules/03-special-populations/01-inclusive-practices.md,1713,7
02-inclusive-practices,modules/03-special-populations/02-inclusive-practices.md,1187,5
02-neurodivergent-practices,modules/03-special-populations/02-neurodivergent-practices.md,374,2
03-cultural-humility,modules/03-special-populations/03-cultural-humility.md,425,2
01-rope-suspension-engineering,modules/04-advanced-topics/01-rope-suspension-engineering.md,832,4
02-medical-play-safety-protocols,modules/04-advanced-topics/02-medical-play-safety-protocols.md,324,2
03-edge-play-ethics,modules/04-advanced-topics/03-edge-play-ethics.md,748,3
04-community-legacy-knowledge-preservation,modules/04-advanced-topics/04-community-legacy-knowledge-preservation.md,97,1
crisis-resource-templates,modules/04-advanced-topics/modules/community-resources/crisis/crisis-resource-templates.md,71,1
crisis-guidelines,modules/04-advanced-topics/modules/community-resources/crisis/guidelines/crisis-guidelines.md,82,1
01-assessment-framework,modules/05-assessment-evaluation/01-assessment-framework.md,1064,5
02-evaluation-tools-templates,modules/05-assessment-evaluation/02-evaluation-tools-templates.md,1463,6
05-digital-fetish-tools-technology-safety,modules/06-digital-fetish-tools-technology-safety/05-digital-fetish-tools-technology-safety.md,1648,7
06-online-kink-community-moderation-safety,modules/07-online-kink-community-moderation-safety/06-online-kink-community-moderation-safety.md,1782,8
07-financial-accessibility-economic-justice-in-education,modules/08-financial-accessibility-economic-justice-in-education/07-financial-accessibility-economic-justice-in-education.md,1356,6
08-aging-elder-lifespan-education,modules/09-aging-elder-lifespan-education/08-aging-elder-lifespan-education.md,1351,6
README,modules/community-resources/README.md,154,1
accessibility-guide,modules/community-resources/accessibility/accessibility-guide.md,1624,7
community-crisis-response,modules/community-resources/community-crisis/community-crisis-response.md,1050,5
community-crisis-response,modules/community-resources/crisis/community-crisis-response.md,182,1
crisis-events,modules/community-resources/crisis/crisis-events.md,322,2
crisis-lists,modules/community-resources/crisis/crisis-lists.md,132,1
crisis-protocols,modules/community-resources/crisis/crisis-protocols.md,237,1
crisis-response-plan,modules/community-resources/crisis/crisis-response-plan.md,133,1
trauma-support,modules/community-resources/crisis/trauma-support.md,119,1
funding-resources,modules/community-resources/funding/funding-resources.md,331,2
legacy-templates,modules/community-resources/legacy-templates.md,308,2
legal-resources,modules/community-resources/legal/legal-resources.md,283,2
essential-resources,modules/community-resources/link-directory/essential-resources.md,272,2
training-guide,modules/community-resources/media/training-guide.md,223,1
essential-templates,modules/community-resources/toolkit/essential-templates.md,219,1
inclusive-guidelines,modules/instructor-resources/adaptations/inclusive-guidelines.md,100,1
safety-checklist,modules/instructor-resources/compliance/safety-checklist.md,112,1
consent-kit-guidelines,modules/instructor-resources/consent-kits/consent-kit-guidelines.md,105,1
curriculum-map,modules/instructor-resources/curriculum-map.md,182,1
evaluation-toolkit,modules/instructor-resources/evaluation-tools/evaluation-toolkit.md,74,1
inclusive-training,modules/instructor-resources/inclusive-training.md,1106,5
consent-education,modules/instructor-resources/lesson-plans/consent-education.md,296,2
mentor-contract,modules/instructor-resources/mentor-contract.md,364,2
mentorship-program,modules/instructor-resources/mentorship/mentorship-program.md,221,1
community-engagement-framework,modules/instructor-resources/outreach/community-engagement-framework.md,96,1
safety-checklist,modules/instructor-resources/safety-checklist.md,523,3
community-advocacy-framework,modules/participant-materials/advocacy/community-advocacy-framework.md,152,1
comprehensive-aftercare-guide,modules/participant-materials/aftercare/comprehensive-aftercare-guide.md,577,3
boundary-templates,modules/participant-materials/consent/strategies/boundary-templates.md,1184,5
non-judgment,modules/participant-materials/consent/strategies/non-judgment.md,698,3
digital-safety,modules/participant-materials/digital/digital-safety.md,999,4
first-aid-guide,modules/participant-materials/first-aid/first-aid-guide.md,104,1
journal-template,modules/participant-materials/journal/journal-template.md,186,1
local-resources,modules/participant-materials/local/local-resources.md,154,1
mentorship-how-to,modules/participant-materials/mentorship/mentorship-how-to.md,367,2
medical_safety,modules/participant-materials/older_standards/medical_safety.md,614,3
skill-framework,modules/participant-materials/skill-tracker/skill-framework.md,101,1
scenario_set,modules/training/scenarios/accessibility/scenario_set.md,344,2
scenario_set,modules/training/scenarios/crisis-management/scenario_set.md,718,3
scenario_set,modules/training/scenarios/elder-kink/scenario_set.md,335,2
